STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394343467 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],2.466337,2.360952,2.384149,2.423134,2.376359,2.292735,2.410872,2.349226,2.554407,2.692597,2.605201,2.722943,2.736980,2.721259,2.668559,2.655625,2.392561,2.352109,2.357708,2.378218,2.274861,2.264801,2.374930,2.314414,2.559215,2.678517,2.595067,2.681937,2.723733,2.684709,2.667528,2.629499,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,4591762000,4485610000,4489580000,4533609000,4479586000,4412430000,4520401000,4481414000,4741730000,2632242000,2548330000,5030650000,5067570000,5036988000,4971213000,4909982000,4519166000,4472326000,4475129000,4491018000,4420447000,4400825000,4502716000,4429411000,4751968000,4993907000,4852550000,4961724000,5060192000,4981008000,4950519000,4871414000
CPU_CLK_UNHALTED_CORE,FIXC1,6651382000,6450231000,6452529000,6567290000,6437641000,6315918000,6541280000,6464455000,7000772000,3855695000,3726764000,7373400000,7433391000,7387748000,7304519000,7215751000,6507888000,6401078000,6395500000,6461793000,6269596000,6243582000,6481759000,6318599000,7003222000,7295714000,7075465000,7266643000,7408390000,7301822000,7262261000,7140572000
CPU_CLK_UNHALTED_REF,FIXC2,6172949000,5993338000,6003347000,6106055000,5985273000,5873122000,6077515000,6011171000,6542549000,3607574000,3490236000,6873324000,6927129000,6880077000,6787025000,6715639000,6039870000,5948694000,5949859000,6007306000,5827330000,5805860000,6020299000,5875615000,6545730000,6808167000,6605168000,6773154000,6904243000,6799925000,6751969000,6646190000
UOPS_ISSUED_ANY,PMC0,5216214000,4996780000,5007914000,5094983000,4987229000,4852765000,5065148000,4988633000,5508291000,3172176000,3004793000,6078412000,6152564000,6089381000,5959785000,5838122000,5056247000,4962046000,4966832000,4997249000,4856590000,4814081000,5015366000,4871811000,5516670000,5996131000,5714410000,5928967000,6124947000,5966621000,5905707000,5746738000
UOPS_EXECUTED_THREAD,PMC1,5786767000,5641067000,5646358000,5706052000,5641838000,5548877000,5685353000,5642703000,5963903000,3306421000,3202321000,6326088000,6364362000,6331697000,6248921000,6174768000,4854022000,4795639000,4799816000,4818968000,4734992000,4711266000,4831907000,4745176000,5137146000,5440936000,5260546000,5403128000,5524025000,5428654000,5382946000,5286867000
UOPS_RETIRED_ALL,PMC2,5731674000,5511836000,5522056000,5609521000,5500774000,5366236000,5579429000,5502549000,6022988000,3444923000,3276202000,6596762000,6670980000,6607603000,6476231000,6352914000,5570130000,5476341000,5481121000,5511648000,5370278000,5328507000,5530021000,5385687000,6031451000,6513619000,6229656000,6446369000,6643306000,6483898000,6421901000,6261834000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7331519,7415800,7440653,7464654,7535119,7533192,7601607,7630626,7683822,4054739,4077593,7795933,7824615,7871388,7928356,7995478,7976193,8053682,8069970,8102545,8159512,8172775,8234485,8259042,8317633,8340735,8393288,8418177,8467351,8509366,8564454,8612826
TABLE,Region csr,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,146067417000,2548330000,5067570000,4.564607e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,212012650000,3726764000,7433391000,6.625395e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,197355702000,3490236000,6927129000,6.167366e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,168453603000,3004793000,6152564000,5.264175e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,170373530000,3202321000,6364362000,5.324173e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,184458445000,3276202000,6670980000,5.764326e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,247837128,4054739,8612826,7.744910e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
